City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
141,punta arenas,-53.15,-70.9167,8.06,61,75,4.12,CL,1706848076
142,aasiaat,68.7098,-52.8699,-28.42,99,100,1.17,GL,1706848138
143,uturoa,-16.7333,-151.4333,27.79,72,87,5.06,PF,1706848138
144,tumbotino,55.9993,43.0236,-1.4,96,100,4.41,RU,1706848138
145,ta`u,-14.2336,-169.5144,28.46,76,99,4.52,AS,1706848139
146,yerofey pavlovich,53.9667,121.9667,-16.15,71,60,1.47,RU,1706848139
147,saint-pierre,-21.3393,55.4781,25.82,78,75,10.8,RE,1706848139
148,aykhal,66.0,111.5,-24.12,71,65,2.93,RU,1706848139
149,bougouni,11.417,-7.479,23.5,20,86,2.46,ML,1706848139
150,brokopondo,4.75,-55.1667,23.64,79,100,3.93,SR,1706848139
151,umm kaddadah,13.6017,26.6876,11.75,36,21,6.62,SD,1706848139
152,georgetown,5.4112,100.3354,30.97,70,20,3.09,MY,1706848091
153,remire-montjoly,4.9167,-52.2667,23.02,100,100,0.0,GF,1706848139
154,kodiak,57.79,-152.4072,-6.27,53,0,1.54,US,1706848140
155,petrolina,-9.3986,-40.5008,26.03,73,0,2.06,BR,1706847926
156,saipan,15.1355,145.701,29.39,54,20,8.75,MP,1706848140
157,akureyri,65.6835,-18.0878,0.96,93,100,0.0,IS,1706848140
158,dieppe bay town,17.413,-62.8153,25.1,78,23,2.57,KN,1706848140
159,tyul'gan,52.3405,56.166,-9.81,95,100,3.54,RU,1706848140
160,benguela,-12.5763,13.4055,26.25,81,100,2.04,AO,1706848140
